Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-zpox,branch-v5t4,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,image
37,1.70557E+12,18/01/2024 9:12,1.70557E+12,2,18/01/2024 11:12,143127,8,task-4qo7,,34292458,,10129921,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1536x864,1707x772,,,,Group_categorization_ArabFirst_pilot2,7,Arab_First,accepted,Spreadsheet1,Spreadsheet1,19,9,1,Screen 1,Zone4,continue_button,1662.9,,,,,0,1,0,,,,,1,task_Arab,CFD_M-225-N.png
38,1.70557E+12,18/01/2024 9:12,1.70557E+12,2,18/01/2024 11:12,143127,8,task-4qo7,,34292458,,10129921,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1536x864,1707x772,,,,Group_categorization_ArabFirst_pilot2,7,Arab_First,accepted,Spreadsheet1,Spreadsheet1,70,10,1,Screen 1,Zone3,response_slider_firstInteraction,1565.6,,,49,,0,1,0,,,,,1,task_Arab,IFD_M-111-N.png
39,1.70557E+12,18/01/2024 9:12,1.70557E+12,2,18/01/2024 11:12,143127,8,task-4qo7,,34292458,,10129921,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1536x864,1707x772,,,,Group_categorization_ArabFirst_pilot2,7,Arab_First,accepted,Spreadsheet1,Spreadsheet1,70,10,1,Screen 1,Zone3,response_slider_endValue,3453.4,,,71,,0,1,0,,,,,1,task_Arab,IFD_M-111-N.png
40,1.70557E+12,18/01/2024 9:12,1.70557E+12,2,18/01/2024 11:12,143127,8,task-4qo7,,34292458,,10129921,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1536x864,1707x772,,,,Group_categorization_ArabFirst_pilot2,7,Arab_First,accepted,Spreadsheet1,Spreadsheet1,70,10,1,Screen 1,Zone4,continue_button,3453.4,,,,,0,1,0,,,,,1,task_Arab,IFD_M-111-N.png
41,1.70557E+12,18/01/2024 9:12,1.70557E+12,2,18/01/2024 11:12,143127,8,task-4qo7,,34292458,,10129921,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1536x864,1707x772,,,,Group_categorization_ArabFirst_pilot2,7,Arab_First,accepted,Spreadsheet1,Spreadsheet1,37,11,1,Screen 1,Zone3,response_slider_firstInteraction,1432.1,,,66,,0,1,0,,,,,1,task_Arab,CFD_M-251-N.png
42,1.70557E+12,18/01/2024 9:12,1.70557E+12,2,18/01/2024 11:12,143127,8,task-4qo7,,34292458,,10129921,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1536x864,1707x772,,,,Group_categorization_ArabFirst_pilot2,7,Arab_First,accepted,Spreadsheet1,Spreadsheet1,37,11,1,Screen 1,Zone3,response_slider_endValue,2115.7,,,66,,0,1,0,,,,,1,task_Arab,CFD_M-251-N.png
43,1.70557E+12,18/01/2024 9:12,1.70557E+12,2,18/01/2024 11:12,143127,8,task-4qo7,,34292458,,10129921,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1536x864,1707x772,,,,Group_categorization_ArabFirst_pilot2,7,Arab_First,accepted,Spreadsheet1,Spreadsheet1,37,11,1,Screen 1,Zone4,continue_button,2115.7,,,,,0,1,0,,,,,1,task_Arab,CFD_M-251-N.png
44,1.70557E+12,18/01/2024 9:12,1.70557E+12,2,18/01/2024 11:12,143127,8,task-4qo7,,34292458,,10129921,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1536x864,1707x772,,,,Group_categorization_ArabFirst_pilot2,7,Arab_First,accepted,Spreadsheet1,Spreadsheet1,20,12,1,Screen 1,Zone3,response_slider_firstInteraction,1066.1,,,67,,0,1,0,,,,,1,task_Arab,CFD_M-227-N.png
45,1.70557E+12,18/01/2024 9:12,1.70557E+12,2,18/01/2024 11:12,143127,8,task-4qo7,,34292458,,10129921,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1536x864,1707x772,,,,Group_categorization_ArabFirst_pilot2,7,Arab_First,accepted,Spreadsheet1,Spreadsheet1,20,12,1,Screen 1,Zone3,response_slider_endValue,1651.2,,,67,,0,1,0,,,,,1,task_Arab,CFD_M-227-N.png
46,1.70557E+12,18/01/2024 9:12,1.70557E+12,2,18/01/2024 11:12,143127,8,task-4qo7,,34292458,,10129921,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1536x864,1707x772,,,,Group_categorization_ArabFirst_pilot2,7,Arab_First,accepted,Spreadsheet1,Spreadsheet1,20,12,1,Screen 1,Zone4,continue_button,1651.2,,,,,0,1,0,,,,,1,task_Arab,CFD_M-227-N.png
47,1.70557E+12,18/01/2024 9:12,1.70557E+12,2,18/01/2024 11:12,143127,8,task-4qo7,,34292458,,10129921,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1536x864,1707x772,,,,Group_categorization_ArabFirst_pilot2,7,Arab_First,accepted,Spreadsheet1,Spreadsheet1,2,13,1,Screen 1,Zone3,response_slider_firstInteraction,1082.4,,,68,,0,1,0,,,,,1,task_Arab,CFD_M-200-N.png
48,1.70557E+12,18/01/2024 9:12,1.70557E+12,2,18/01/2024 11:12,143127,8,task-4qo7,,34292458,,10129921,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1536x864,1707x772,,,,Group_categorization_ArabFirst_pilot2,7,Arab_First,accepted,Spreadsheet1,Spreadsheet1,2,13,1,Screen 1,Zone3,response_slider_endValue,1975.2,,,68,,0,1,0,,,,,1,task_Arab,CFD_M-200-N.png
49,1.70557E+12,18/01/2024 9:12,1.70557E+12,2,18/01/2024 11:12,143127,8,task-4qo7,,34292458,,10129921,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1536x864,1707x772,,,,Group_categorization_ArabFirst_pilot2,7,Arab_First,accepted,Spreadsheet1,Spreadsheet1,2,13,1,Screen 1,Zone4,continue_button,1975.2,,,,,0,1,0,,,,,1,task_Arab,CFD_M-200-N.png
50,1.70557E+12,18/01/2024 9:12,1.70557E+12,2,18/01/2024 11:12,143127,8,task-4qo7,,34292458,,10129921,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1536x864,1707x772,,,,Group_categorization_ArabFirst_pilot2,7,Arab_First,accepted,Spreadsheet1,Spreadsheet1,50,14,1,Screen 1,Zone3,response_slider_firstInteraction,1265.3,,,66,,0,1,0,,,,,1,task_Arab,IFD_M-039-N.png
51,1.70557E+12,18/01/2024 9:12,1.70557E+12,2,18/01/2024 11:12,143127,8,task-4qo7,,34292458,,10129921,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1536x864,1707x772,,,,Group_categorization_ArabFirst_pilot2,7,Arab_First,accepted,Spreadsheet1,Spreadsheet1,50,14,1,Screen 1,Zone3,response_slider_endValue,1719.8,,,66,,0,1,0,,,,,1,task_Arab,IFD_M-039-N.png
52,1.70557E+12,18/01/2024 9:12,1.70557E+12,2,18/01/2024 11:12,143127,8,task-4qo7,,34292458,,10129921,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1536x864,1707x772,,,,Group_categorization_ArabFirst_pilot2,7,Arab_First,accepted,Spreadsheet1,Spreadsheet1,50,14,1,Screen 1,Zone4,continue_button,1719.8,,,,,0,1,0,,,,,1,task_Arab,IFD_M-039-N.png
