Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-dg7x,branch-1j1y,branch-78ow,branch-dh4q,Randomise questionnaire elements?,Question Key,Response
1,1716211598503,20/05/2024 13:26:38,1716211597798,3,20/05/2024 16:26:37,142922,38,questionnaire-4l7k,,37748652,BLIND,11119522,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1366x768,1366x633,,,,Consent_ex2_part2,13,ACpass,accepted,agreed,condagree,No,BEGIN QUESTIONNAIRE,
2,1716211617512,20/05/2024 13:26:57,1716211615720,3,20/05/2024 16:26:55,142922,38,questionnaire-4l7k,,37748652,BLIND,11119522,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1366x768,1366x633,,,,Consent_ex2_part2,13,ACpass,accepted,agreed,condagree,No,pronouns_of_p,נקבה
3,1716211617706,20/05/2024 13:26:57,1716211615725,3,20/05/2024 16:26:55,142922,38,questionnaire-4l7k,,37748652,BLIND,11119522,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1366x768,1366x633,,,,Consent_ex2_part2,13,ACpass,accepted,agreed,condagree,No,pronouns_of_p-quantised,1
4,1716211617706,20/05/2024 13:26:57,1716211615726,3,20/05/2024 16:26:55,142922,38,questionnaire-4l7k,,37748652,BLIND,11119522,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1366x768,1366x633,,,,Consent_ex2_part2,13,ACpass,accepted,agreed,condagree,No,consent_part2-1,כן
5,1716211617706,20/05/2024 13:26:57,1716211615727,3,20/05/2024 16:26:55,142922,38,questionnaire-4l7k,,37748652,BLIND,11119522,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1366x768,1366x633,,,,Consent_ex2_part2,13,ACpass,accepted,agreed,condagree,No,END QUESTIONNAIRE,17929
1,1716213988978,20/05/2024 14:06:28,1716213988300,3,20/05/2024 17:06:28,142922,38,questionnaire-4l7k,,37749976,BLIND,11119801,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1536x864,1536x730,,,,Consent_ex2_part2,13,ACpass,accepted,agreed,condagree,No,BEGIN QUESTIONNAIRE,
2,1716214009085,20/05/2024 14:06:49,1716214008477,3,20/05/2024 17:06:48,142922,38,questionnaire-4l7k,,37749976,BLIND,11119801,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1536x864,1536x730,,,,Consent_ex2_part2,13,ACpass,accepted,agreed,condagree,No,pronouns_of_p,נקבה
3,1716214009214,20/05/2024 14:06:49,1716214008478,3,20/05/2024 17:06:48,142922,38,questionnaire-4l7k,,37749976,BLIND,11119801,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1536x864,1536x730,,,,Consent_ex2_part2,13,ACpass,accepted,agreed,condagree,No,pronouns_of_p-quantised,1
4,1716214009214,20/05/2024 14:06:49,1716214008478,3,20/05/2024 17:06:48,142922,38,questionnaire-4l7k,,37749976,BLIND,11119801,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1536x864,1536x730,,,,Consent_ex2_part2,13,ACpass,accepted,agreed,condagree,No,consent_part2-1,כן
5,1716214009214,20/05/2024 14:06:49,1716214008478,3,20/05/2024 17:06:48,142922,38,questionnaire-4l7k,,37749976,BLIND,11119801,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1536x864,1536x730,,,,Consent_ex2_part2,13,ACpass,accepted,agreed,condagree,No,END QUESTIONNAIRE,20178
1,1716214303464,20/05/2024 14:11:43,1716214303186,3,20/05/2024 17:11:43,142922,38,questionnaire-4l7k,,37750109,BLIND,11119823,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1366x768,1366x607,,,,Consent_ex2_part2,13,ACpass,accepted,agreed,condagree,No,BEGIN QUESTIONNAIRE,
2,1716214327303,20/05/2024 14:12:07,1716214327038,3,20/05/2024 17:12:07,142922,38,questionnaire-4l7k,,37750109,BLIND,11119823,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1366x768,1366x607,,,,Consent_ex2_part2,13,ACpass,accepted,agreed,condagree,No,pronouns_of_p,זכר
3,1716214327415,20/05/2024 14:12:07,1716214327040,3,20/05/2024 17:12:07,142922,38,questionnaire-4l7k,,37750109,BLIND,11119823,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1366x768,1366x607,,,,Consent_ex2_part2,13,ACpass,accepted,agreed,condagree,No,pronouns_of_p-quantised,2
4,1716214327415,20/05/2024 14:12:07,1716214327040,3,20/05/2024 17:12:07,142922,38,questionnaire-4l7k,,37750109,BLIND,11119823,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1366x768,1366x607,,,,Consent_ex2_part2,13,ACpass,accepted,agreed,condagree,No,consent_part2-1,כן
