Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-zpox,branch-v5t4,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,image
399,1704890475320,10/01/2024 12:41:15,1704890477873,2,10/01/2024 14:41:17,143127,8,task-4qo7,,34101451,,10078394,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1280x720,1280x551,,,,Group_categorization_ArabFirst_pilot2,7,Arab_First,accepted,Spreadsheet1,Spreadsheet1,91,42,1,Screen 1,Zone3,response_slider_firstInteraction,616.7000000000116,,,47,,0,1,0,,,,,2,task_Jewish,CFD_M-204-N.png
400,1704890476621,10/01/2024 12:41:16,1704890479168,2,10/01/2024 14:41:19,143127,8,task-4qo7,,34101451,,10078394,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1280x720,1280x551,,,,Group_categorization_ArabFirst_pilot2,7,Arab_First,accepted,Spreadsheet1,Spreadsheet1,91,42,1,Screen 1,Zone3,response_slider_endValue,1880.2000000029802,,,55,,0,1,0,,,,,2,task_Jewish,CFD_M-204-N.png
401,1704890476755,10/01/2024 12:41:16,1704890479170,2,10/01/2024 14:41:19,143127,8,task-4qo7,,34101451,,10078394,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1280x720,1280x551,,,,Group_categorization_ArabFirst_pilot2,7,Arab_First,accepted,Spreadsheet1,Spreadsheet1,91,42,1,Screen 1,Zone4,continue_button,1880.2000000029802,,,,,0,1,0,,,,,2,task_Jewish,CFD_M-204-N.png
402,1704890477993,10/01/2024 12:41:17,1704890480548,2,10/01/2024 14:41:20,143127,8,task-4qo7,,34101451,,10078394,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1280x720,1280x551,,,,Group_categorization_ArabFirst_pilot2,7,Arab_First,accepted,Spreadsheet1,Spreadsheet1,171,43,1,Screen 1,Zone3,response_slider_firstInteraction,1383.2999999999884,,,47,,0,1,0,,,,,2,task_Jewish,IFD_M-424-N.png
403,1704890478970,10/01/2024 12:41:18,1704890481514,2,10/01/2024 14:41:21,143127,8,task-4qo7,,34101451,,10078394,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1280x720,1280x551,,,,Group_categorization_ArabFirst_pilot2,7,Arab_First,accepted,Spreadsheet1,Spreadsheet1,171,43,1,Screen 1,Zone3,response_slider_endValue,2337.2000000029802,,,40,,0,1,0,,,,,2,task_Jewish,IFD_M-424-N.png
404,1704890479076,10/01/2024 12:41:19,1704890481515,2,10/01/2024 14:41:21,143127,8,task-4qo7,,34101451,,10078394,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1280x720,1280x551,,,,Group_categorization_ArabFirst_pilot2,7,Arab_First,accepted,Spreadsheet1,Spreadsheet1,171,43,1,Screen 1,Zone4,continue_button,2337.2000000029802,,,,,0,1,0,,,,,2,task_Jewish,IFD_M-424-N.png
405,1704890479658,10/01/2024 12:41:19,1704890482199,2,10/01/2024 14:41:22,143127,8,task-4qo7,,34101451,,10078394,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1280x720,1280x551,,,,Group_categorization_ArabFirst_pilot2,7,Arab_First,accepted,Spreadsheet1,Spreadsheet1,148,44,1,Screen 1,Zone3,response_slider_firstInteraction,683.1000000000349,,,49,,0,1,0,,,,,2,task_Jewish,IFD_M-084-N.png
406,1704890483327,10/01/2024 12:41:23,1704890485877,2,10/01/2024 14:41:25,143127,8,task-4qo7,,34101451,,10078394,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1280x720,1280x551,,,,Group_categorization_ArabFirst_pilot2,7,Arab_First,accepted,Spreadsheet1,Spreadsheet1,148,44,1,Screen 1,Zone3,response_slider_endValue,4352.80000000447,,,56,,0,1,0,,,,,2,task_Jewish,IFD_M-084-N.png
407,1704890483451,10/01/2024 12:41:23,1704890485878,2,10/01/2024 14:41:25,143127,8,task-4qo7,,34101451,,10078394,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1280x720,1280x551,,,,Group_categorization_ArabFirst_pilot2,7,Arab_First,accepted,Spreadsheet1,Spreadsheet1,148,44,1,Screen 1,Zone4,continue_button,4352.80000000447,,,,,0,1,0,,,,,2,task_Jewish,IFD_M-084-N.png
408,1704890484870,10/01/2024 12:41:24,1704890487429,2,10/01/2024 14:41:27,143127,8,task-4qo7,,34101451,,10078394,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1280x720,1280x551,,,,Group_categorization_ArabFirst_pilot2,7,Arab_First,accepted,Spreadsheet1,Spreadsheet1,151,45,1,Screen 1,Zone3,response_slider_firstInteraction,1549.7000000000116,,,49,,0,1,0,,,,,2,task_Jewish,IFD_M-097-N.png
