Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-zpox,branch-v5t4,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,image
320,1704814513957,09/01/2024 15:35:13,1704814514123,2,09/01/2024 17:35:14,143127,8,task-ib3a,,34070749,,10072941,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1280x720,1280x551,,,,Group_categorization_JewishFirst_pilot2,13,Jewish_First,accepted,Spreadsheet1,Spreadsheet1,144,15,1,Screen 1,Zone4,continue_button,2466.199999988079,,,,,0,1,0,,,,,2,task_Arab,IFD_M-066-N.png
321,1704814515182,09/01/2024 15:35:15,1704814515482,2,09/01/2024 17:35:15,143127,8,task-ib3a,,34070749,,10072941,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1280x720,1280x551,,,,Group_categorization_JewishFirst_pilot2,13,Jewish_First,accepted,Spreadsheet1,Spreadsheet1,133,16,1,Screen 1,Zone3,response_slider_firstInteraction,1366.600000000035,,,47,,0,1,0,,,,,2,task_Arab,IFD_M-033-N.png
322,1704814516259,09/01/2024 15:35:16,1704814516547,2,09/01/2024 17:35:16,143127,8,task-ib3a,,34070749,,10072941,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1280x720,1280x551,,,,Group_categorization_JewishFirst_pilot2,13,Jewish_First,accepted,Spreadsheet1,Spreadsheet1,133,16,1,Screen 1,Zone3,response_slider_endValue,2416.699999988079,,,35,,0,1,0,,,,,2,task_Arab,IFD_M-033-N.png
323,1704814516383,09/01/2024 15:35:16,1704814516548,2,09/01/2024 17:35:16,143127,8,task-ib3a,,34070749,,10072941,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1280x720,1280x551,,,,Group_categorization_JewishFirst_pilot2,13,Jewish_First,accepted,Spreadsheet1,Spreadsheet1,133,16,1,Screen 1,Zone4,continue_button,2416.699999988079,,,,,0,1,0,,,,,2,task_Arab,IFD_M-033-N.png
324,1704814517068,09/01/2024 15:35:17,1704814517361,2,09/01/2024 17:35:17,143127,8,task-ib3a,,34070749,,10072941,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1280x720,1280x551,,,,Group_categorization_JewishFirst_pilot2,13,Jewish_First,accepted,Spreadsheet1,Spreadsheet1,149,17,1,Screen 1,Zone3,response_slider_firstInteraction,816.2999999999884,,,51,,0,1,0,,,,,2,task_Arab,IFD_M-086-N.png
325,1704814519107,09/01/2024 15:35:19,1704814519399,2,09/01/2024 17:35:19,143127,8,task-ib3a,,34070749,,10072941,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1280x720,1280x551,,,,Group_categorization_JewishFirst_pilot2,13,Jewish_First,accepted,Spreadsheet1,Spreadsheet1,149,17,1,Screen 1,Zone3,response_slider_endValue,2844.100000023842,,,52,,0,1,0,,,,,2,task_Arab,IFD_M-086-N.png
326,1704814519226,09/01/2024 15:35:19,1704814519400,2,09/01/2024 17:35:19,143127,8,task-ib3a,,34070749,,10072941,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1280x720,1280x551,,,,Group_categorization_JewishFirst_pilot2,13,Jewish_First,accepted,Spreadsheet1,Spreadsheet1,149,17,1,Screen 1,Zone4,continue_button,2844.100000023842,,,,,0,1,0,,,,,2,task_Arab,IFD_M-086-N.png
327,1704814520878,09/01/2024 15:35:20,1704814521162,2,09/01/2024 17:35:21,143127,8,task-ib3a,,34070749,,10072941,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1280x720,1280x551,,,,Group_categorization_JewishFirst_pilot2,13,Jewish_First,accepted,Spreadsheet1,Spreadsheet1,159,18,1,Screen 1,Zone3,response_slider_firstInteraction,1749.899999999965,,,49,,0,1,0,,,,,2,task_Arab,IFD_M-117-N.png
328,1704814521632,09/01/2024 15:35:21,1704814521890,2,09/01/2024 17:35:21,143127,8,task-ib3a,,34070749,,10072941,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1280x720,1280x551,,,,Group_categorization_JewishFirst_pilot2,13,Jewish_First,accepted,Spreadsheet1,Spreadsheet1,159,18,1,Screen 1,Zone3,response_slider_endValue,2483.5,,,42,,0,1,0,,,,,2,task_Arab,IFD_M-117-N.png
329,1704814521774,09/01/2024 15:35:21,1704814521890,2,09/01/2024 17:35:21,143127,8,task-ib3a,,34070749,,10072941,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1280x720,1280x551,,,,Group_categorization_JewishFirst_pilot2,13,Jewish_First,accepted,Spreadsheet1,Spreadsheet1,159,18,1,Screen 1,Zone4,continue_button,2483.5,,,,,0,1,0,,,,,2,task_Arab,IFD_M-117-N.png
